model,calibration_type,bucket,games,score_mae,margin_mae,total_goals_mae,winner_accuracy,brier_score,average_expected_total,average_actual_total,average_expected_margin,average_actual_margin,calibration_gap
raw_poisson,overall,all,103,3.759062213683057,5.91729719520598,4.8585029495424505,0.6796116504854369,0.2678510131796117,11.675755770267921,12.398058252427184,0.9802886987933993,1.5631067961165048,-0.7223024821592627
raw_poisson,expected_total_bucket,0-6,8,4.839469174545844,6.398864186865731,7.6608681956084865,0.5,0.37597511093749997,3.8784049776966434,11.25,0.6382714614718336,1.0,-7.371595022303357
raw_poisson,expected_total_bucket,12-15,25,3.701625841530994,6.005627679510569,3.9724460437825293,0.76,0.2633123686,13.08079915160355,12.96,-1.4569183549417384,1.68,0.12079915160354915
raw_poisson,expected_total_bucket,15+,15,5.971430500152976,10.193119200748688,8.259282688070588,0.6666666666666666,0.3176023956666667,20.325949354737254,12.066666666666666,1.292033239461964,2.2,8.259282688070588
raw_poisson,expected_total_bucket,6-9,14,3.145630331849713,3.652248852014324,4.409889817037315,0.6428571428571429,0.2574931071428571,7.707214559467283,11.857142857142858,0.45406207334717397,1.0,-4.149928297675575
raw_poisson,expected_total_bucket,9-12,41,2.9833347908907952,4.978578870343782,3.760975838630733,0.6829268292682927,0.23485621512195123,10.530862965178851,12.585365853658537,2.598759891187781,1.5609756097560976,-2.0545028884796857
raw_poisson,predicted_margin_bucket,0-2,30,3.315830135256346,4.307328906096971,5.332848836935472,0.6666666666666666,0.23218453499999997,9.372861736635452,12.033333333333333,0.24752775659346535,-0.7666666666666667,1.014194423260132
raw_poisson,predicted_margin_bucket,2-5,38,3.1093113793148475,4.572059897831914,4.1414022197401135,0.6842105263157895,0.2658050651315791,10.657369077492609,11.947368421052632,1.5888778087673208,2.210526315789474,-0.6216485070221531
raw_poisson,predicted_margin_bucket,5-8,18,3.5475023385455975,6.208572810810835,3.71938122691592,0.6666666666666666,0.3091843572222223,12.096812171351559,12.61111111111111,1.7303755650670816,0.8333333333333334,0.8970422317337482
raw_poisson,predicted_margin_bucket,8+,17,6.217625261404676,11.457009247711712,6.830481897658666,0.7058823529411765,0.2916004354411765,17.570255777028528,13.823529411764707,0.11881096315002997,5.0,-4.88118903684997
calibrated_poisson,overall,all,103,3.2703365435685416,5.1585975825000725,3.7115683259468795,0.6310679611650486,0.24601579699029127,12.210067282854672,12.398058252427184,1.564244806746515,1.5631067961165048,-0.18799096957251216
calibrated_poisson,expected_total_bucket,12-15,54,3.191785287863121,5.072338349658963,3.551244969519275,0.7037037037037037,0.2034781272222222,12.99786343315284,12.61111111111111,1.3955966487046945,2.2037037037037037,0.3867523220417297
calibrated_poisson,expected_total_bucket,15+,7,3.8531511598600607,7.220441103283274,3.6908807365411915,0.42857142857142855,0.3680281110714286,15.833737879398333,12.142857142857142,3.4496608561540554,1.2857142857142858,3.6908807365411906
calibrated_poisson,expected_total_bucket,6-9,4,4.030314789748209,4.383010332985897,6.302193880553306,0.75,0.222869755625,8.017592350931107,10.75,1.1375244987664657,2.75,-2.732407649068893
calibrated_poisson,expected_total_bucket,9-12,38,3.194603714866787,4.98300397528939,3.670509698433846,0.5526315789473685,0.286424537368421,10.864362373270131,12.31578947368421,1.5015071599129821,0.5789473684210527,-1.4514271004140795
calibrated_poisson,predicted_margin_bucket,0-2,41,2.844940185777521,4.124592524475483,3.667631604560579,0.5853658536585366,0.2195748821341463,11.307093770579035,11.609756097560975,0.5881955714447799,0.0975609756097561,0.4906345958350238
calibrated_poisson,predicted_margin_bucket,2-5,48,3.5156163535631735,5.603770264928851,3.606821340538571,0.625,0.2828320108333333,12.514626260926127,12.583333333333334,1.1389152932747806,1.125,0.013915293274780582
calibrated_poisson,predicted_margin_bucket,5-8,12,4.055105852852948,7.305313537216693,4.736485025329677,0.75,0.23009167416666673,13.567691692446518,14.0,5.163175395324749,6.833333333333333,-1.6701579380085843
calibrated_poisson,predicted_margin_bucket,8+,2,1.3956305827068354,2.7912611654136708,0.9766985678686524,1.0,1.0156250000000455e-05,15.26586235323917,14.5,10.187578922284331,10.5,-0.31242107771566907
