window_index,train_through_date,window_start,window_end,train_games,test_games,model,games,winner_accuracy,brier_score,log_loss,margin_mae,total_goals_mae,calibration_gap,average_confidence_score,upset_rate,close_game_rate
1,2026-04-21,2026-04-22,2026-04-28,0,35,power_v3_calibrated,35,0.7142857142857143,0.20799549109300397,0.6216953500334994,,,-0.16554120951090234,58.17942857142858,0.2857142857142857,0.34285714285714286
1,2026-04-21,2026-04-22,2026-04-28,0,35,calibrated_poisson,35,0.5714285714285714,0.28628489942857144,0.856332219701563,5.638867715696689,4.386662661451884,0.1767371428571427,58.17942857142858,0.42857142857142855,0.34285714285714286
1,2026-04-21,2026-04-22,2026-04-28,0,35,hybrid,35,0.7142857142857143,0.20799549109300397,0.6216953500334994,5.638867715696689,4.386662661451884,-0.16554120951090234,58.17942857142858,0.2857142857142857,0.34285714285714286
2,2026-04-28,2026-04-29,2026-05-05,35,38,power_v3_calibrated,38,0.7631578947368421,0.18604270847643684,0.5583063673633082,,,-0.1564830677123028,59.798947368421054,0.23684210526315788,0.2631578947368421
2,2026-04-28,2026-04-29,2026-05-05,35,38,calibrated_poisson,38,0.631578947368421,0.22239957835526314,0.6559899251091688,4.846067898485721,3.5126408765280757,0.13213026315789478,59.798947368421054,0.3684210526315789,0.2631578947368421
2,2026-04-28,2026-04-29,2026-05-05,35,38,hybrid,38,0.7631578947368421,0.18604270847643684,0.5583063673633082,4.846067898485721,3.5126408765280757,-0.1564830677123028,59.798947368421054,0.23684210526315788,0.2631578947368421
3,2026-05-05,2026-05-06,2026-05-12,73,27,power_v3_calibrated,27,0.7777777777777778,0.17843777963144797,0.5391941566966297,,,-0.14399279835733447,64.25518518518518,0.2222222222222222,0.37037037037037035
3,2026-05-05,2026-05-06,2026-05-12,73,27,calibrated_poisson,27,0.6296296296296297,0.23088670777777776,0.6687304722791821,5.080383717138436,3.1999605983493074,0.09811481481481477,64.25518518518518,0.37037037037037035,0.37037037037037035
3,2026-05-05,2026-05-06,2026-05-12,73,27,hybrid,27,0.7777777777777778,0.17843777963144797,0.5391941566966297,5.080383717138436,3.1999605983493074,-0.14399279835733447,64.25518518518518,0.2222222222222222,0.37037037037037035
4,2026-05-12,2026-05-13,2026-05-19,100,3,power_v3_calibrated,3,1.0,0.07605629018413801,0.31972194219063105,,,-0.27239875259628865,70.62333333333333,0.0,0.3333333333333333
4,2026-05-12,2026-05-13,2026-05-19,100,3,calibrated_poisson,3,1.0,0.041376840833333324,0.22645764349539746,4.2180801476426595,2.9596849860714998,-0.20238333333333325,70.62333333333333,0.0,0.3333333333333333
4,2026-05-12,2026-05-13,2026-05-19,100,3,hybrid,3,1.0,0.07605629018413801,0.31972194219063105,4.2180801476426595,2.9596849860714998,-0.27239875259628865,70.62333333333333,0.0,0.3333333333333333
